Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of West Flanders,House,house,1095000.0,4.0,262,A,72.0,Good,Houses,32514,49005.78,218080,23881,False
Province of East Flanders,House,mansion,925000.0,6.0,500,A,87.0,As new,Luxury Properties,25554,37197.82,92063,3393,True
Province of Flemish Brabant,House,exceptional-property,1495000.0,4.0,381,C,273.0,As new,Luxury Properties,44878,43899.63,143386,5608,True
Province of Antwerp,Apartment,apartment,199000.0,2.0,104,B,154.0,As new,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,395000.0,3.0,120,G,368.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of Liège,Apartment,apartment,180000.0,3.0,130,C,184.0,To restore,Apartments,195778,29723.4,553498,4139,True
Brussels-Capital Region,House,house,960000.0,6.0,422,G,371.0,Just renovated,Houses,42571,49629.39,117715,6157,True
Province of West Flanders,House,villa,790000.0,4.0,262,A,71.0,As new,Luxury Properties,34417,33568.26,122516,6488,True
Province of Flemish Brabant,House,house,1295000.0,4.0,349,A,95.0,Not specified,Houses,13298,54918.18,53260,29264,True
Brussels-Capital Region,Apartment,flat-studio,219000.0,1.0,31,G,511.0,As new,Apartments,89278,36192.4,192538,3920,True
Brussels-Capital Region,Apartment,apartment,410000.0,2.0,90,D,202.0,Good,Apartments,89278,36192.4,192538,3920,True
Province of West Flanders,Apartment,apartment,185000.0,1.0,92,C,307.0,To be done up,Apartments,119869,38379.28,447131,54152,False
Province of West Flanders,House,house,1450000.0,3.0,297,D,323.0,Not specified,Houses,11207,40996.06,46066,26033,True
Province of West Flanders,House,mansion,1195000.0,4.0,343,C,287.0,Good,Luxury Properties,3216,35665.79,13186,71079,False
Province of Flemish Brabant,House,country-cottage,985000.0,6.0,608,B,176.0,As new,Houses,104009,43011.99,344112,18038,True
Brussels-Capital Region,House,house,599000.0,6.0,250,E,218.0,To restore,Houses,26895,22954.31,36878,7264,True
Province of Flemish Brabant,House,house,585000.0,3.0,350,C,208.0,Good,Houses,23401,50492.29,84297,898,True
Province of Walloon Brabant,Apartment,apartment,219000.0,3.0,100,C,186.0,To be done up,Apartments,29070,39782.46,88101,4235,True
Brussels-Capital Region,Apartment,flat-studio,189000.0,1.0,48,C,98.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Walloon Brabant,House,house,600000.0,5.0,200,D,260.0,Good,Houses,30596,49868.21,110845,5016,True
Province of Antwerp,Apartment,apartment,225000.0,2.0,95,C,212.0,Good,Apartments,34641,43194.52,105168,10768,True
Province of Antwerp,House,apartment-block,595000.0,3.0,326,B,112.0,As new,Specialized Properties,89313,39500.05,263172,4655,True
Province of Limburg,Apartment,penthouse,695000.0,2.0,235,B,161.0,As new,Apartments,80828,39652.15,280131,2825,True
Province of West Flanders,House,mixed-use-building,1035000.0,4.0,262,B,128.0,As new,Specialized Properties,72586,33257.05,244961,13344,False
Province of Flemish Brabant,House,house,600000.0,4.0,238,D,315.0,As new,Houses,25970,53299.92,96914,5033,True
Province of Flemish Brabant,House,mixed-use-building,795000.0,3.0,460,Not specified,317.0,As new,Specialized Properties,21165,48540.08,70591,9287,True
Province of Antwerp,Apartment,penthouse,225000.0,2.0,95,C,212.0,Good,Apartments,34641,43194.52,105168,10768,True
Province of Antwerp,Apartment,loft,789000.0,4.0,215,B,135.0,Good,Specialized Properties,89313,39500.05,263172,4655,True
Province of East Flanders,House,mansion,1095000.0,4.0,420,C,299.0,Not specified,Luxury Properties,21013,42477.48,76247,9586,True
Brussels-Capital Region,Apartment,apartment,410000.0,4.0,126,D,208.0,To be done up,Apartments,60771,39197.85,137181,288528,True
Brussels-Capital Region,Apartment,apartment,495000.0,3.0,185,F,335.0,Good,Apartments,130405,29104.72,217421,12964,True
Province of Antwerp,Apartment,apartment,189000.0,1.0,40,C,217.0,Just renovated,Apartments,544759,33144.07,1227104,4398,True
Province of Liège,House,house,145000.0,5.0,171,E,343.0,To be done up,Houses,55770,29892.76,150978,34826,True
Province of Namur,Apartment,ground-floor,189000.0,1.0,54,E,378.0,Good,Apartments,26496,41290.38,84806,0,True
Province of Flemish Brabant,House,house,665000.0,3.0,299,C,289.0,Good,Houses,6873,46434.67,24726,29651,True
Province of Antwerp,House,manor-house,875000.0,4.0,231,A,96.0,Not specified,Luxury Properties,544759,33144.07,1227104,4398,False
Province of Antwerp,Apartment,apartment,240000.0,3.0,90,B,129.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Hainaut,House,house,195000.0,3.0,200,F,451.0,Good,Houses,20745,27801.6,68197,12105,True
Province of West Flanders,Apartment,apartment,189000.0,1.0,65,B,118.0,To be done up,Apartments,72586,33257.05,244961,13344,True
Province of East Flanders,House,mansion,1200000.0,4.0,215,D,377.0,As new,Luxury Properties,269597,36726.16,810047,6028,True
