Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Hainaut,House,house,650000.0,4.0,243,B,153.0,As new,Houses,13825,43251.33,54899,3185,True
Province of Walloon Brabant,House,villa,660000.0,5.0,250,E,406.0,To renovate,Luxury Properties,40461,43475.47,136981,9066,True
Province of Antwerp,Apartment,apartment,897000.0,3.0,206,A,61.0,Not specified,Apartments,89313,39500.05,263172,4655,True
Brussels-Capital Region,Apartment,penthouse,399000.0,2.0,80,G,624.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,Apartment,apartment,299500.0,2.0,106,A,80.0,Good,Apartments,119869,38379.28,447131,54152,True
Province of Antwerp,House,house,395000.0,4.0,200,C,280.0,To be done up,Houses,8505,49157.82,27812,30595,True
Province of Antwerp,House,house,334900.0,4.0,150,D,302.0,Just renovated,Houses,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,1295000.0,5.0,310,D,317.0,Just renovated,Houses,544759,33144.07,1227104,4398,True
Province of Antwerp,House,exceptional-property,671000.0,2.0,212,B,104.0,Good,Luxury Properties,89313,39500.05,263172,4655,True
Brussels-Capital Region,Apartment,apartment,1350000.0,4.0,300,C,132.0,Good,Apartments,26895,22954.31,36878,7264,True
Brussels-Capital Region,Apartment,apartment,275000.0,2.0,85,F,317.0,As new,Apartments,130405,29104.72,217421,12964,True
Province of Flemish Brabant,House,house,439000.0,3.0,168,C,218.0,As new,Houses,13651,45636.73,48347,17630,True
Brussels-Capital Region,Apartment,penthouse,399000.0,2.0,80,G,624.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of Liège,House,house,335000.0,3.0,180,D,307.0,Just renovated,Houses,5122,38039.4,21207,6501,True
Province of Flemish Brabant,House,house,690000.0,4.0,220,C,273.0,As new,Houses,26505,45534.17,87780,58076,True
Brussels-Capital Region,Apartment,apartment,1390000.0,4.0,284,D,190.0,Not specified,Apartments,89278,36192.4,192538,3920,False
Province of Liège,House,house,275000.0,2.0,130,D,333.0,To be done up,Houses,195778,29723.4,553498,4139,True
Province of Antwerp,House,country-cottage,699000.0,3.0,200,A,96.0,Just renovated,Houses,44505,39914.48,170277,3762,True
Brussels-Capital Region,Apartment,apartment,364000.0,2.0,88,A,44.0,As new,Apartments,45234,31133.23,80746,42542,True
Province of Antwerp,Apartment,ground-floor,179000.0,2.0,84,C,284.0,To renovate,Apartments,544759,33144.07,1227104,4398,True
Province of East Flanders,House,house,330000.0,2.0,100,B,105.0,Good,Houses,12532,43767.71,48322,22524,True
Province of East Flanders,House,house,640000.0,4.0,245,B,181.0,Not specified,Houses,269597,36726.16,810047,6028,False
Province of Walloon Brabant,House,house,440000.0,3.0,130,A,317.0,Good,Houses,7013,42678.79,23620,16582,False
Province of Antwerp,House,house,695000.0,3.0,300,C,230.0,Good,Houses,11867,42235.91,43737,7556,False
Brussels-Capital Region,Apartment,apartment,399000.0,2.0,78,D,153.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of East Flanders,House,house,290000.0,3.0,126,B,198.0,Just renovated,Houses,81863,36701.5,247742,11936,True
Brussels-Capital Region,Apartment,apartment,399000.0,2.0,78,D,152.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of East Flanders,House,house,335000.0,3.0,130,B,158.0,Not specified,Houses,269597,36726.16,810047,6028,True
Province of East Flanders,House,villa,739000.0,4.0,350,A,100.0,Just renovated,Luxury Properties,31271,40141.8,100423,64215,True
Province of East Flanders,House,villa,695000.0,6.0,344,B,188.0,Good,Luxury Properties,81863,36701.5,247742,11936,True
Province of Namur,Apartment,apartment,399000.0,2.0,104,B,87.0,Not specified,Apartments,114142,35393.56,357401,0,True
Province of Walloon Brabant,House,house,489000.0,3.0,192,F,444.0,Good,Houses,7530,47462.93,26498,5879,True
Province of East Flanders,House,house,524987.0,4.0,213,A,317.0,Good,Houses,45471,42117.19,171088,11335,True
Province of East Flanders,House,house,399000.0,2.0,140,D,351.0,Good,Houses,269597,36726.16,810047,6028,False
Brussels-Capital Region,Apartment,apartment,435000.0,2.0,91,C,107.0,As new,Apartments,89278,36192.4,192538,3920,True
Brussels-Capital Region,Apartment,apartment,239000.0,2.0,86,G,354.0,As new,Apartments,54107,31546.83,96069,5392,True
Province of West Flanders,House,house,335000.0,3.0,141,F,672.0,To renovate,Houses,11021,35458.79,66035,18535,False
Brussels-Capital Region,Apartment,penthouse,1395000.0,4.0,287,D,192.0,As new,Apartments,86806,43621.92,224317,19952,True
Province of Flemish Brabant,House,house,449000.0,4.0,140,D,322.0,Good,Houses,44878,43899.63,143386,5608,True
Brussels-Capital Region,Apartment,apartment,429000.0,2.0,90,F,280.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,House,house,545000.0,4.0,312,C,236.0,Good,Houses,119869,38379.28,447131,54152,False
Province of East Flanders,House,house,699000.0,0.0,300,C,277.0,Not specified,Houses,14957,43632.41,55133,12420,False
Province of Flemish Brabant,Apartment,duplex,279000.0,2.0,82,B,187.0,Good,Apartments,47445,37233.84,123007,2844,True
Province of East Flanders,House,house,339000.0,3.0,154,B,194.0,Good,Houses,15961,43436.15,61534,24897,True
Province of Flemish Brabant,House,house,724000.0,4.0,230,Not specified,317.0,To renovate,Houses,39860,44280.93,119697,25275,False
Province of Namur,House,house,115000.0,3.0,99,E,348.0,Good,Houses,12716,32959.8,50453,0,True
Province of West Flanders,House,house,550000.0,2.0,274,C,299.0,Just renovated,Houses,21546,45278.76,146797,6821,True
Province of East Flanders,House,house,339000.0,3.0,161,F,626.0,To renovate,Houses,25229,47435.18,91348,5057,False
Province of Namur,House,house,219000.0,2.0,163,E,418.0,Good,Houses,13907,30073.99,55666,0,True
Province of Antwerp,Apartment,apartment,288000.0,2.0,85,A,76.0,Good,Apartments,28248,38599.87,86025,7933,True
Province of Antwerp,House,house,339000.0,2.0,152,C,272.0,To be done up,Houses,13370,41392.23,42458,9896,True
Province of East Flanders,House,house,452000.0,2.0,145,E,434.0,Good,Houses,8340,43002.14,32070,18627,False
Brussels-Capital Region,Apartment,apartment,442000.0,3.0,105,A,44.0,As new,Apartments,45234,31133.23,80746,42542,True
Province of Flemish Brabant,House,house,725000.0,3.0,215,D,397.0,To renovate,Houses,13962,53968.09,46635,2768,True
Province of Walloon Brabant,House,villa,785000.0,4.0,241,D,301.0,Good,Luxury Properties,14198,54821.33,57251,12078,True
Province of East Flanders,House,house,349000.0,3.0,117,C,235.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Luxembourg,House,house,575000.0,4.0,204,B,140.0,As new,Houses,8549,49741.9,31905,27898,True
Province of Luxembourg,House,house,155000.0,3.0,120,G,537.0,To renovate,Houses,3716,45994.9,13734,0,True
Province of Walloon Brabant,House,exceptional-property,845000.0,3.0,300,C,241.0,As new,Luxury Properties,23096,46842.84,79165,5366,True
Province of East Flanders,House,house,575000.0,3.0,210,A,71.0,As new,Houses,15073,39587.49,56919,9968,True
Brussels-Capital Region,House,house,749000.0,3.0,215,C,149.0,As new,Houses,35350,42739.22,90826,55173,True
Province of Antwerp,House,house,430000.0,5.0,182,B,135.0,Good,Houses,11379,37666.69,30543,10012,True
Province of Antwerp,House,mansion,1695000.0,5.0,346,A,79.0,As new,Luxury Properties,544759,33144.07,1227104,4398,True
Province of Flemish Brabant,House,house,439000.0,3.0,162,B,317.0,As new,Houses,18029,43469.48,60740,924,False
Province of Liège,House,mixed-use-building,355000.0,4.0,160,C,196.0,Good,Specialized Properties,55770,29892.76,150978,34826,True
Province of East Flanders,House,house,584986.0,4.0,209,A,317.0,Good,Houses,45471,42117.19,171088,11335,True
Province of Flemish Brabant,House,villa,795000.0,4.0,203,C,210.0,Good,Luxury Properties,26505,45534.17,87780,58076,False
Province of Namur,House,house,120000.0,3.0,155,F,479.0,To renovate,Houses,9490,32244.81,39421,0,True
Brussels-Capital Region,House,apartment-block,585000.0,4.0,210,F,288.0,Good,Specialized Properties,130405,29104.72,217421,12964,False
Province of Luxembourg,Apartment,flat-studio,98500.0,1.0,41,C,247.0,Good,Apartments,5735,35406.29,22312,3856,True
Brussels-Capital Region,House,house,830000.0,5.0,214,F,295.0,To be done up,Houses,58044,31300.75,97050,19678,True
Province of Luxembourg,House,house,129000.0,3.0,66,G,580.0,To renovate,Houses,11972,36446.9,44392,0,True
Province of East Flanders,House,house,359000.0,3.0,181,B,142.0,Good,Houses,10687,42704.05,40227,21094,True
Province of Namur,Apartment,duplex,195000.0,2.0,90,B,130.0,Good,Apartments,17183,34208.05,60168,0,True
Province of West Flanders,House,house,585000.0,3.0,204,F,743.0,To be done up,Houses,32514,49005.78,218080,23881,False
Province of Walloon Brabant,House,house,840000.0,4.0,324,B,170.0,As new,Houses,30596,49868.21,110845,5016,True
Province of Liège,House,house,175000.0,2.0,150,G,571.0,To renovate,Houses,28989,32536.77,95135,5080,True
Province of West Flanders,House,villa,735000.0,4.0,344,B,179.0,To be done up,Luxury Properties,17228,35138.12,68418,67799,True
Province of Antwerp,House,mixed-use-building,334900.0,3.0,155,D,338.0,Good,Specialized Properties,89313,39500.05,263172,4655,True
Province of Liège,House,house,68000.0,1.0,64,G,656.0,To renovate,Houses,195778,29723.4,553498,4139,True
Province of Liège,House,house,119000.0,2.0,134,F,505.0,To renovate,Houses,40814,29901.9,123528,11066,True
Province of West Flanders,House,house,357860.0,3.0,173,A,317.0,As new,Houses,8722,38846.49,33773,5680,True
Province of Antwerp,House,villa,1449000.0,7.0,440,B,200.0,As new,Luxury Properties,20319,52053.15,77813,4594,True
Province of Flemish Brabant,Apartment,apartment,280000.0,2.0,86,D,398.0,Good,Apartments,36676,41981.17,113998,4785,True
Province of Flemish Brabant,Apartment,apartment,259000.0,2.0,110,B,161.0,As new,Apartments,35755,40679.21,106145,2819,False
Province of Hainaut,House,apartment-block,360000.0,4.0,150,D,261.0,Good,Specialized Properties,204322,27395.91,624599,50040,True
Province of East Flanders,House,house,589986.0,4.0,221,A,317.0,Good,Houses,45471,42117.19,171088,11335,True
Province of Flemish Brabant,House,mixed-use-building,849000.0,4.0,210,C,317.0,Good,Specialized Properties,11958,45351.67,43242,449,True
Province of Liège,House,country-cottage,149000.0,2.0,99,F,486.0,Good,Houses,5612,38896.68,19936,186842,True
Province of Liège,Apartment,apartment,99000.0,1.0,75,G,634.0,Not specified,Apartments,21706,32009.99,68625,6717,False
Province of Walloon Brabant,House,house,375000.0,3.0,193,F,493.0,Good,Houses,11133,38342.23,37727,15491,True
Province of Hainaut,House,house,595000.0,4.0,400,E,317.0,Good,Houses,22915,32401.92,81171,22195,True
Province of Flemish Brabant,House,villa,875000.0,4.0,280,B,153.0,Good,Luxury Properties,47445,37233.84,123007,2844,True
Province of Walloon Brabant,House,villa,745000.0,6.0,291,B,151.0,As new,Luxury Properties,9704,40979.09,31885,4737,True
Brussels-Capital Region,Apartment,apartment,295000.0,2.0,95,B,91.0,Good,Apartments,126581,26480.5,210927,18015,True
Province of West Flanders,Apartment,apartment,135000.0,2.0,67,D,399.0,To renovate,Apartments,20559,33019.36,85090,9508,True
Province of Flemish Brabant,House,house,375000.0,4.0,150,F,586.0,Good,Houses,16576,35110.99,42638,8070,True
Province of Luxembourg,House,villa,875000.0,6.0,490,B,156.0,Not specified,Luxury Properties,11506,32422.04,57491,11194,True
Province of Hainaut,House,mansion,695000.0,4.0,514,E,390.0,As new,Luxury Properties,17318,31966.83,64960,37482,True
Province of Liège,House,house,149000.0,3.0,140,E,345.0,To be done up,Houses,40814,29901.9,123528,11066,True
Province of East Flanders,House,mansion,649000.0,10.0,319,D,389.0,To renovate,Luxury Properties,269597,36726.16,810047,6028,True
Province of Liège,House,house,159000.0,3.0,149,D,339.0,To be done up,Houses,9733,40046.25,35840,4557,True
Province of Liège,House,house,174000.0,4.0,111,E,363.0,Good,Houses,23261,31572.93,76079,7948,True
Province of Liège,Apartment,apartment,149000.0,2.0,81,F,472.0,Good,Apartments,21706,32009.99,68625,6717,False
Province of Luxembourg,House,house,375000.0,2.0,200,D,284.0,To renovate,Houses,6024,45794.22,22396,0,True
Province of Liège,House,house,219000.0,4.0,165,D,337.0,To be done up,Houses,195778,29723.4,553498,4139,True
Province of Luxembourg,Apartment,apartment,155000.0,3.0,85,D,330.0,Good,Apartments,17972,33662.13,63903,1857,True
Province of Antwerp,Apartment,flat-studio,149900.0,1.0,50,C,290.0,To be done up,Apartments,544759,33144.07,1227104,4398,False
Province of East Flanders,House,house,387000.0,3.0,101,Not specified,317.0,Good,Houses,8340,43002.14,32070,18627,False
Province of East Flanders,House,house,609987.0,4.0,219,A,317.0,Good,Houses,45471,42117.19,171088,11335,True
Province of Antwerp,House,villa,894500.0,5.0,250,B,317.0,Not specified,Luxury Properties,20319,52053.15,77813,4594,True
Province of Antwerp,House,exceptional-property,1499000.0,4.0,300,B,176.0,As new,Luxury Properties,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,House,house,289000.0,2.0,100,D,309.0,To renovate,Houses,35558,41007.54,117663,1680,True
Province of Liège,House,house,219000.0,3.0,165,F,430.0,To renovate,Houses,40814,29901.9,123528,11066,True
Brussels-Capital Region,Apartment,apartment,154000.0,1.0,46,G,634.0,Good,Apartments,126581,26480.5,210927,18015,True
Brussels-Capital Region,House,house,650000.0,6.0,325,G,426.0,To renovate,Houses,130405,29104.72,217421,12964,True
Province of East Flanders,House,house,259000.0,4.0,172,C,257.0,Good,Houses,6888,40442.75,26539,6498,False
Province of East Flanders,House,house,604987.0,4.0,219,A,317.0,Good,Houses,45471,42117.19,171088,11335,True
Province of East Flanders,House,house,389000.0,3.0,119,B,175.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Walloon Brabant,House,house,289000.0,2.0,100,D,309.0,To renovate,Houses,35558,41007.54,117663,1680,True
Province of Flemish Brabant,House,house,925000.0,3.0,516,C,209.0,As new,Houses,11604,43039.49,42523,11202,True
Province of Walloon Brabant,House,villa,525000.0,5.0,222,D,317.0,Good,Luxury Properties,16068,44783.0,55174,4401,True
Brussels-Capital Region,House,house,650000.0,4.0,211,G,370.0,Good,Houses,60771,39197.85,137181,288528,True
Province of West Flanders,House,villa,539000.0,3.0,200,C,244.0,Not specified,Luxury Properties,14832,43616.78,60945,9244,False
Province of Liège,House,house,225000.0,4.0,181,D,288.0,To be done up,Houses,195778,29723.4,553498,4139,True
Province of East Flanders,House,house,395000.0,4.0,140,E,443.0,To renovate,Houses,12532,43767.71,48322,22524,False
Province of Flemish Brabant,House,villa,650000.0,5.0,290,D,358.0,Just renovated,Luxury Properties,42595,38907.97,130239,12277,True
Province of West Flanders,House,villa,985000.0,4.0,254,A,99.0,Not specified,Luxury Properties,32514,49005.78,218080,23881,False
Province of East Flanders,House,house,417250.0,4.0,149,D,330.0,To be done up,Houses,13311,44807.05,50053,19263,True
Province of Antwerp,House,house,570000.0,3.0,241,D,318.0,Not specified,Houses,12824,39850.06,46884,18964,False
Province of Antwerp,House,house,399000.0,3.0,170,C,287.0,Not specified,Houses,89313,39500.05,263172,4655,True
Province of West Flanders,House,house,269000.0,4.0,188,D,381.0,Good,Houses,10464,34993.17,39648,20120,True
Province of Liège,House,house,229000.0,2.0,105,G,653.0,Good,Houses,64266,28856.29,196623,18484,True
Province of Antwerp,Apartment,flat-studio,169000.0,1.0,30,D,399.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,625000.0,3.0,277,C,282.0,To renovate,Houses,38470,44845.46,131624,18190,False
Province of East Flanders,House,house,219000.0,4.0,146,C,225.0,Good,Houses,27356,32084.7,82867,11685,True
Province of Antwerp,Apartment,flat-studio,159000.0,1.0,32,B,111.0,Just renovated,Apartments,544759,33144.07,1227104,4398,True
Province of Luxembourg,House,house,395000.0,4.0,187,C,173.0,Just renovated,Houses,8549,49741.9,31905,27898,True
Province of Liège,House,bungalow,299000.0,3.0,104,C,191.0,Good,Houses,25743,34097.95,90151,1590,True
Province of West Flanders,House,house,690000.0,4.0,300,F,547.0,To be done up,Houses,11021,35458.79,66035,18535,False
Province of Flemish Brabant,House,country-cottage,995000.0,4.0,351,C,256.0,Good,Houses,18029,43469.48,60740,924,True
Province of Flemish Brabant,House,villa,575000.0,5.0,234,B,178.0,Not specified,Luxury Properties,15124,50956.47,56231,6705,False
Province of Liège,House,house,229000.0,3.0,185,C,205.0,Good,Houses,4028,38523.67,14987,2002,True
Province of Liège,Apartment,apartment,360000.0,3.0,116,A,71.0,As new,Apartments,64266,28856.29,196623,18484,True
Province of East Flanders,House,house,399000.0,4.0,180,F,1219.0,To renovate,Houses,20059,39985.52,70583,9030,False
Brussels-Capital Region,House,house,695000.0,4.0,221,G,372.0,As new,Houses,42571,49629.39,117715,6157,True
Province of West Flanders,House,house,995000.0,4.0,249,A,55.0,As new,Houses,32514,49005.78,218080,23881,True
Province of Flemish Brabant,House,exceptional-property,595000.0,5.0,440,E,479.0,Not specified,Luxury Properties,17672,49195.92,64051,8324,False
Province of East Flanders,Apartment,apartment,385000.0,1.0,73,D,362.0,Good,Apartments,269597,36726.16,810047,6028,False
Brussels-Capital Region,Apartment,flat-studio,175000.0,1.0,35,F,308.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of East Flanders,House,house,399000.0,3.0,154,A,36.0,Good,Houses,18928,41898.49,69991,23049,False
Province of Antwerp,Apartment,apartment,175000.0,1.0,70,D,387.0,To be done up,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,House,house,425000.0,3.0,136,E,236.0,As new,Houses,126581,26480.5,210927,18015,True
Province of East Flanders,House,mixed-use-building,995000.0,4.0,620,B,317.0,As new,Specialized Properties,29787,42071.89,114794,5641,True
Province of West Flanders,House,house,239000.0,3.0,163,F,515.0,Good,Houses,11537,37157.72,43833,5268,True
Province of East Flanders,House,house,435000.0,4.0,174,D,340.0,Good,Houses,6552,44728.95,26565,3328,True
Province of West Flanders,House,villa,695000.0,3.0,269,B,150.0,Good,Luxury Properties,19855,34982.92,126373,21083,False
Province of East Flanders,House,house,349000.0,3.0,163,E,453.0,To renovate,Houses,45471,42117.19,171088,11335,False
Province of East Flanders,House,house,1100000.0,4.0,371,C,277.0,As new,Houses,269597,36726.16,810047,6028,False
Province of West Flanders,Apartment,flat-studio,170000.0,1.0,32,B,185.0,Good,Apartments,19855,34982.92,126373,21083,True
Province of Liège,House,house,239000.0,3.0,150,D,333.0,Good,Houses,195778,29723.4,553498,4139,True
Province of Flemish Brabant,House,apartment-block,695000.0,6.0,290,D,353.0,Not specified,Specialized Properties,42595,38907.97,130239,12277,True
Province of West Flanders,House,house,595000.0,3.0,298,D,322.0,Not specified,Houses,12718,39081.67,93777,11347,False
Province of Liège,House,house,249000.0,3.0,127,C,221.0,Good,Houses,40814,29901.9,123528,11066,True
Province of Flemish Brabant,House,mixed-use-building,599000.0,4.0,239,C,220.0,Not specified,Specialized Properties,35755,40679.21,106145,2819,True
Brussels-Capital Region,Apartment,apartment,180000.0,1.0,68,C,125.0,Not specified,Apartments,98365,25895.01,133439,16848,True
Province of Antwerp,House,villa,1099000.0,6.0,285,B,188.0,Good,Luxury Properties,30610,43103.88,106078,10507,True
Province of Luxembourg,House,house,289500.0,3.0,110,C,241.0,Good,Houses,8260,37409.33,30428,0,True
Province of East Flanders,House,house,275000.0,5.0,168,C,263.0,Good,Houses,32702,39518.48,117883,21321,True
Province of Walloon Brabant,Apartment,ground-floor,189000.0,1.0,42,E,425.0,To be done up,Apartments,8407,43034.52,27845,15992,True
Province of Antwerp,House,house,438000.0,4.0,184,B,317.0,Good,Houses,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,725000.0,3.0,312,C,249.0,Good,Houses,89313,39500.05,263172,4655,False
Province of Walloon Brabant,House,apartment-block,1100000.0,8.0,305,B,125.0,As new,Specialized Properties,29070,39782.46,88101,4235,True
Province of Liège,House,house,645000.0,5.0,410,Not specified,317.0,As new,Houses,4946,39296.81,18592,7270,True
Province of Flemish Brabant,House,house,349000.0,2.0,171,F,988.0,To renovate,Houses,6771,40962.53,24925,4046,True
Province of Liège,House,house,279000.0,3.0,130,F,488.0,Just renovated,Houses,27002,32475.49,90638,4402,True
Province of Walloon Brabant,Apartment,apartment,190000.0,2.0,80,C,198.0,As new,Apartments,29070,39782.46,88101,4235,True
Brussels-Capital Region,House,house,445000.0,3.0,190,E,267.0,Good,Houses,54107,31546.83,96069,5392,True
Brussels-Capital Region,House,house,730000.0,4.0,200,E,317.0,Just renovated,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,325000.0,3.0,150,B,150.0,Good,Houses,27356,32084.7,82867,11685,True
Province of Liège,House,house,299000.0,4.0,168,F,498.0,Good,Houses,40814,29901.9,123528,11066,True
Province of Antwerp,Apartment,service-flat,190000.0,1.0,58,A,42.0,Good,Apartments,26957,44065.2,94276,5428,False
Brussels-Capital Region,House,apartment-block,780000.0,8.0,382,B,77.0,Good,Specialized Properties,130405,29104.72,217421,12964,True
Province of Antwerp,House,house,449000.0,2.0,126,B,190.0,Good,Houses,18914,42053.83,68060,14838,False
Province of Antwerp,House,villa,1150000.0,4.0,431,B,104.0,As new,Luxury Properties,14828,43212.98,53656,49133,False
Province of West Flanders,House,villa,460000.0,4.0,177,C,293.0,Good,Luxury Properties,12670,40125.27,48286,21762,False
Brussels-Capital Region,Apartment,apartment,199000.0,1.0,55,D,199.0,Just renovated,Apartments,126581,26480.5,210927,18015,True
Province of West Flanders,House,house,648000.0,4.0,475,B,198.0,Not specified,Houses,12670,40125.27,48286,21762,False
Province of Antwerp,House,house,334000.0,4.0,180,D,341.0,Good,Houses,26957,44065.2,94276,5428,True
Province of East Flanders,Apartment,apartment,379000.0,2.0,93,A,317.0,Good,Apartments,29787,42071.89,114794,5641,True
Province of Antwerp,House,manor-house,695000.0,4.0,202,A,97.0,Not specified,Luxury Properties,544759,33144.07,1227104,4398,False
Province of Flemish Brabant,House,villa,1195000.0,6.0,386,B,111.0,Good,Luxury Properties,39860,44280.93,119697,25275,True
Brussels-Capital Region,Apartment,apartment,299000.0,2.0,70,A,40.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Hainaut,Apartment,apartment,199000.0,1.0,75,C,240.0,Good,Apartments,23743,34002.99,89009,3946,True
Brussels-Capital Region,House,apartment-block,795000.0,5.0,300,E,317.0,Good,Specialized Properties,89278,36192.4,192538,3920,True
Province of Flemish Brabant,House,villa,1195000.0,4.0,418,A,96.0,Not specified,Luxury Properties,36676,41981.17,113998,4785,True
Province of Hainaut,House,villa,695000.0,4.0,368,G,549.0,Not specified,Luxury Properties,13825,43251.33,54899,3185,True
Brussels-Capital Region,Apartment,apartment,329000.0,2.0,95,G,368.0,To be done up,Apartments,58044,31300.75,97050,19678,True
Province of Liège,House,house,399000.0,4.0,172,F,449.0,Good,Houses,25743,34097.95,90151,1590,True
Brussels-Capital Region,Apartment,apartment,215000.0,2.0,75,D,161.0,To be done up,Apartments,98365,25895.01,133439,16848,True
Province of East Flanders,House,house,448000.0,3.0,166,C,217.0,Good,Houses,32702,39518.48,117883,21321,False
Brussels-Capital Region,House,house,795000.0,5.0,300,E,317.0,Good,Houses,89278,36192.4,192538,3920,True
Province of East Flanders,House,house,445000.0,3.0,156,F,889.0,To renovate,Houses,6552,44728.95,26565,3328,False
Province of Liège,House,house,345000.0,4.0,140,C,252.0,Good,Houses,6836,41398.53,24616,6295,True
Province of Walloon Brabant,House,house,1200000.0,5.0,365,A,61.0,As new,Houses,10646,43559.07,36138,4046,True
Province of Liège,Apartment,apartment,215000.0,1.0,60,C,236.0,As new,Apartments,40814,29901.9,123528,11066,True
Province of East Flanders,House,villa,695000.0,3.0,298,A,73.0,As new,Luxury Properties,269597,36726.16,810047,6028,True
Province of West Flanders,House,house,795000.0,5.0,366,C,378.0,As new,Houses,66262,36816.82,237945,5238,False
Province of Antwerp,Apartment,apartment,385000.0,2.0,110,B,136.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Namur,Apartment,apartment,215000.0,1.0,57,B,170.0,As new,Apartments,114142,35393.56,357401,0,True
Province of Limburg,House,house,699000.0,4.0,226,D,388.0,Not specified,Houses,12841,40810.74,49453,1137,False
Province of West Flanders,House,house,795000.0,10.0,510,C,317.0,Good,Houses,9319,38774.29,34690,8727,True
Province of West Flanders,House,house,499000.0,4.0,200,F,557.0,To renovate,Houses,11677,36022.57,46142,1136,True
Province of Walloon Brabant,House,exceptional-property,1200000.0,4.0,365,A,61.0,Good,Luxury Properties,10646,43559.07,36138,4046,True
Brussels-Capital Region,House,mixed-use-building,499000.0,5.0,117,G,820.0,Good,Specialized Properties,126581,26480.5,210927,18015,True
Province of Luxembourg,House,house,750000.0,6.0,600,E,376.0,Not specified,Houses,11506,32422.04,57491,11194,True
Province of East Flanders,House,house,425000.0,4.0,191,E,494.0,To renovate,Houses,81863,36701.5,247742,11936,True
Province of Walloon Brabant,House,house,430000.0,3.0,182,D,333.0,As new,Houses,31648,39460.29,111133,5142,True
Province of West Flanders,Apartment,apartment,225000.0,2.0,78,B,120.0,To renovate,Apartments,11021,35458.79,66035,18535,True
Province of West Flanders,House,farmhouse,795000.0,10.0,510,C,317.0,Good,Houses,9319,38774.29,34690,8727,True
Province of East Flanders,House,house,249000.0,3.0,154,C,300.0,To be done up,Houses,34999,37743.97,124752,14340,True
Province of Walloon Brabant,House,house,1200000.0,5.0,365,A,61.0,As new,Houses,7013,42678.79,23620,16582,True
Province of East Flanders,House,house,139000.0,3.0,105,F,843.0,To renovate,Houses,20144,42188.34,73055,22644,True
Brussels-Capital Region,Apartment,apartment,230000.0,1.0,56,E,239.0,To renovate,Apartments,89278,36192.4,192538,3920,True
Province of West Flanders,Apartment,apartment,185000.0,1.0,52,D,335.0,Good,Apartments,11455,35914.08,74000,14552,True
Province of West Flanders,House,house,345000.0,3.0,159,B,104.0,Good,Houses,119869,38379.28,447131,54152,False
Province of Liège,House,house,70000.0,3.0,51,E,358.0,To be done up,Houses,12950,33858.12,48304,20840,True
Province of Antwerp,Apartment,apartment,228000.0,2.0,75,C,238.0,Just renovated,Apartments,28248,38599.87,86025,7933,True
Province of East Flanders,House,house,299000.0,3.0,102,D,369.0,To be done up,Houses,24744,37507.01,94190,5309,False
Province of Flemish Brabant,House,house,810000.0,4.0,351,B,173.0,Good,Houses,17672,49195.92,64051,8324,False
Brussels-Capital Region,House,apartment-block,1250000.0,11.0,580,D,176.0,Good,Specialized Properties,54107,31546.83,96069,5392,True
Province of Luxembourg,House,villa,825000.0,5.0,387,C,229.0,As new,Luxury Properties,17845,38047.64,61521,14389,True
Province of Luxembourg,House,apartment-block,359000.0,6.0,180,E,382.0,Good,Specialized Properties,5377,30493.52,27979,0,True
Brussels-Capital Region,Apartment,apartment,229000.0,2.0,87,B,94.0,Just renovated,Apartments,126581,26480.5,210927,18015,True
Province of East Flanders,House,house,329000.0,3.0,182,Not specified,317.0,Not specified,Houses,7016,39101.02,28951,19540,True
Province of Luxembourg,House,house,825000.0,5.0,387,C,229.0,As new,Houses,17845,38047.64,61521,14389,True
Province of West Flanders,Apartment,apartment,299000.0,2.0,62,B,104.0,To restore,Apartments,32514,49005.78,218080,23881,False
Province of East Flanders,House,house,458000.0,4.0,193,C,246.0,Just renovated,Houses,269597,36726.16,810047,6028,True
Province of West Flanders,Apartment,penthouse,229000.0,1.0,74,D,310.0,Good,Apartments,72586,33257.05,244961,13344,True
Province of Limburg,House,house,375000.0,3.0,199,D,322.0,Not specified,Houses,48353,37141.45,166976,5702,False
Province of Flemish Brabant,House,house,1145000.0,3.0,610,C,317.0,Good,Houses,9471,46734.84,33432,36558,True
