Post code,Special code,Submunicipality code,Région code,Province code,Arrondissement code,Municipality code,Sub-municipality name (French),Sub-municipality name (Dutch),Sub-municipality name (German),Région name (German),Région name (Dutch),Région name (French),Province name (German),Province name (Dutch),Province name (French),Arrondissement name (German),Arrondissement name (Dutch),Arrondissement name (French),Municipality name (German),Municipality name (Dutch),Municipality name (French)
6043,0,52011R,3000,50000,52000,52011,Ransart,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Charleroi
7621,0,57093C,3000,50000,57000,57093,Lesdain,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Brunehaut
6222,0,52021H,3000,50000,52000,52021,Brye,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Fleurus
7866,0,55023D,3000,50000,51000,51069,Ollignies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Lessines
7950,0,51014A,3000,50000,51000,51014,Chièvres,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Chièvres
1047,1,21009A,1000,,21000,21009,Ixelles,Elsene,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Elsene,Ixelles
1099,1,21004-Z,1000,,21000,21004,Bruxelles,Brussel,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Brussel,Bruxelles
1040,0,21005A,1000,,21000,21005,Etterbeek,Etterbeek,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Etterbeek,Etterbeek
2380,0,13035A,2000,10000,13000,13035,,Ravels,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Ravels,
2020,0,11002-Z,2000,10000,11000,11002,,Antwerpen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Antwerpen,
2018,0,11002-Z,2000,10000,11000,11002,,Antwerpen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Antwerpen,
4701,0,63023B,3000,60000,63000,63023,,,Kettenis,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,Eupen,,Eupen
6533,0,56078H,3000,50000,56000,56078,Biercée,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Thuin
7120,0,56085A,3000,50000,58000,58003,Estinnes-au-Mont,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,La Louvière,,,Estinnes
7534,0,57081G-I,3000,50000,57000,57081,Maulde,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7543,0,57081W-I,3000,50000,57000,57081,Mourcourt,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7943,0,51012B,3000,50000,51000,51012,Gages,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Brugelette
6540,0,56044A,3000,50000,56000,56044,Lobbes,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Lobbes
7536,0,57081K,3000,50000,57000,57081,Vaulx,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7901,0,57094K,3000,50000,57000,57094,Thieulain,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Leuze-en-Hainaut
7903,0,57094D,3000,50000,57000,57094,Chapelle-à-Oie,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Leuze-en-Hainaut
7141,0,56087B,3000,50000,58000,58004,Carnières,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,La Louvière,,,Morlanwelz
1011,1,21004-Z,1000,,21000,21004,Bruxelles,Brussel,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Brussel,Bruxelles
1030,0,21015A,1000,,21000,21015,Schaerbeek,Schaarbeek,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Schaarbeek,Schaerbeek
1450,0,25117C,3000,20002,25000,25117,Saint-Géry,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Chastre
1461,0,25044B,3000,20002,25000,25044,Haut-Ittre,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Ittre
2840,0,11037C,2000,10000,11000,11037,,Reet,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Rumst,
5012,1,92094A,3000,90000,92000,92094,Namur,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Namur
5502,0,91034C,3000,90000,91000,91034,Thynes,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Dinant
5572,0,91013K,3000,90000,91000,91013,Focant,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Beauraing
5580,0,91114E,3000,90000,91000,91114,Éprave,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Rochefort
3560,0,71037A,2000,70000,71000,71037,,Lummen,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Lummen,
3690,0,71067A,2000,70000,71000,71067,,Zutendaal,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Zutendaal,
6723,0,85046C,3000,80000,85000,85046,Habay-la-Vieille,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Habay
6820,0,85011A,3000,80000,85000,85011,Florenville,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Florenville
6940,0,83012B,3000,80000,83000,83012,Grandhan,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Marche-en-Famenne,,,Durbuy
1880,0,23039A,2000,20001,23000,23039,,Kapelle-op-den-Bos,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Kapelle-op-den-Bos,
1790,0,23105A,2000,20001,23000,23105,,Hekelgem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Affligem,
3293,0,24020C,2000,20001,24000,24020,,Kaggevinne,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Diest,
1785,0,23052A,2000,20001,23000,23052,,Merchtem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Merchtem,
9406,0,41048M,2000,40000,41000,41048,,Outer,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Ninove,
9971,0,43007B,2000,40000,43000,43007,,Lembeke,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Kaprijke,
9403,0,41048D,2000,40000,41000,41048,,Neigem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Ninove,
9940,0,44019A,2000,40000,44000,44019,,Evergem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Evergem,
9982,0,43014C,2000,40000,43000,43014,,Sint-Jan-in-Eremo,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Sint-Laureins,
9572,0,45063D,2000,40000,45000,45063,,Sint-Martens-Lierde,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Oudenaarde,Audenarde,,Lierde,
9280,0,42011A,2000,40000,42000,42011,,Lebbeke,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Dendermonde,,,Lebbeke,
4610,0,62015B,3000,60000,62000,62015,Queue-du-Bois,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Beyne-Heusay
4851,0,63088A,3000,60000,63000,63088,Gemmenich,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Plombières
4680,0,62079E,3000,60000,62000,62079,Hermée,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Oupeye
4790,0,63087B,3000,60000,63000,63087,,,Reuland,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,Burg-Reuland,,Burg-Reuland
4800,0,63079-Z,3000,60000,63000,63079,Heusy,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Verviers
4870,0,63057A,3000,60000,63000,63057,Olne,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Olne
4800,0,63079A,3000,60000,63000,63079,Verviers,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Verviers
4032,0,62063G,3000,60000,62000,62063,Chênée,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Liège
5350,0,92097B,3000,90000,92000,92097,Haillot,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Ohey
5330,0,92006C,3000,90000,92000,92006,Maillen,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Assesse
5020,0,92094E,3000,90000,92000,92094,Flawinne,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Namur
3520,0,71066-Z,2000,70000,71000,71066,,Zonhoven,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Zonhoven,
3721,0,73040C,2000,70000,73000,73040,,Vliermaalroot,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Kortessem,
8470,0,35005A,2000,30000,35000,35005,,Gistel,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Oostende,,,Gistel,
8580,0,34003A,2000,30000,34000,34003,,Avelgem,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Avelgem,
6780,0,81015E,3000,80000,81000,81015,Hondelange,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Arlon,,,Messancy
9052,0,44021H,2000,40000,44000,44021,,Zwijnaarde,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Gent,
9910,0,44029B,2000,40000,44000,44084,,Ursel,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Aalter,
4162,0,61079B,3000,60000,61000,61079,Hody,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Huy,,,Anthisnes
4683,0,62079D,3000,60000,62000,62079,Vivegnis,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Oupeye
