Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Bruxelles,1000,Brussels-Capital Region,House,house,950000,5,380,0,0,1,0,0,0,0,0,200,2,F,312,To renovate,Houses
Evere,1140,Brussels-Capital Region,House,house,715000,4,220,1,0,0,1,15,1,80,1,0,2,C,128,As new,Houses
Evergem,9940,Province of East Flanders,House,house,415000,4,150,1,0,0,0,0,0,0,0,510,0,C,254,Good,Houses
Evere,1140,Brussels-Capital Region,Apartment,apartment,275000,2,85,1,0,0,1,14,0,0,0,0,3,D,162,Good,Apartments
Westende,8434,Province of West Flanders,Apartment,flat-studio,82000,1,27,0,1,0,0,0,0,0,0,0,0,C,228,To be done up,Apartments
Ranst,2520,Province of Antwerp,House,house,525000,4,297,1,0,0,1,20,1,120,0,856,4,D,361,To be done up,Houses
Arlon,6700,Province of Luxembourg,House,house,695000,3,215,1,0,1,1,1,1,1,0,419,4,D,324,As new,Houses
Watermael-boitsfort,1170,Brussels-Capital Region,Apartment,flat-studio,196500,1,40,1,0,0,1,9,0,0,0,0,2,E,252,Good,Apartments
Schaerbeek,1030,Brussels-Capital Region,House,house,795000,5,200,1,0,0,1,10,1,100,0,300,3,G,498,Good,Houses
Baudour,7331,Province of Hainaut,House,house,79000,2,70,1,0,0,0,0,0,0,0,280,2,G,716,Good,Houses
Frasnes-lez-anvaing,7910,Province of Hainaut,House,country-cottage,749000,6,400,1,0,0,0,0,0,0,0,2474,4,Not specified,317,Just renovated,Houses
Wilrijk,2610,Province of Antwerp,House,villa,975000,2,200,0,0,0,0,0,0,0,0,673,0,D,365,Not specified,Luxury Properties
Strombeek-bever,1853,Province of Flemish Brabant,House,house,499000,4,141,0,0,0,0,0,0,0,0,548,3,E,412,To renovate,Houses
Dilbeek,1700,Province of Flemish Brabant,House,house,803900,3,235,0,0,0,0,0,0,0,0,978,4,Not specified,317,As new,Houses
Antwerpen,2060,Province of Antwerp,House,house,349000,4,160,0,0,0,1,20,0,0,0,112,2,C,299,Good,Houses
Marchin,4570,Province of Liège,House,house,559500,5,280,1,0,0,0,0,0,0,1,4119,4,B,132,As new,Houses
Namur,5000,Province of Namur,House,house,625000,3,450,1,0,0,0,0,0,0,0,263,2,B,138,Good,Houses
Herk-de-stad,3540,Province of Limburg,House,country-cottage,995000,5,471,0,0,0,0,0,0,0,0,2546,4,C,256,As new,Houses
Koksijde,8670,Province of West Flanders,House,house,885000,6,567,1,0,0,1,150,1,400,0,599,4,E,420,As new,Houses
Arlon,6700,Province of Luxembourg,Apartment,apartment,285000,2,77,1,0,0,0,0,0,0,0,0,0,C,239,Good,Apartments
Seraing,4102,Province of Liège,House,house,109000,3,115,1,0,0,1,30,1,172,0,290,2,G,798,To renovate,Houses
Scheldewindeke,9860,Province of East Flanders,House,house,595000,4,263,1,0,0,1,18,0,0,0,496,2,Not specified,317,Good,Houses
Appels,9200,Province of East Flanders,House,mansion,1195000,4,597,1,0,0,0,0,0,0,0,3257,0,C,228,Good,Luxury Properties
