Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Seraing,4100,Province of Liège,House,house,239000,3,116,1,0,0,0,0,1,120,0,188,2,C,216,Good,Houses
Holsbeek,3221,Province of Flemish Brabant,House,house,390000,4,146,0,0,0,0,0,0,0,0,7163,4,F,317,To renovate,Houses
Bassenge,4690,Province of Liège,House,villa,565000,4,300,1,0,0,0,0,0,0,0,3278,4,C,239,Good,Luxury Properties
Gent,9000,Province of East Flanders,Apartment,kot,670000,7,285,0,0,0,0,0,0,0,0,0,2,B,159,Good,Apartments
Evergem,9940,Province of East Flanders,House,house,419000,3,160,0,0,0,1,25,0,0,0,440,3,B,112,Good,Houses
Helecine,1357,Province of Walloon Brabant,House,house,249000,3,179,0,0,0,1,41,1,450,0,608,3,E,390,Good,Houses
Ledeberg,9050,Province of East Flanders,Apartment,apartment,225000,2,80,0,0,0,0,0,0,0,0,0,0,C,243,To be done up,Apartments
De-pinte,9840,Province of East Flanders,House,house,439000,3,150,0,0,0,0,0,0,0,0,317,3,B,192,Not specified,Houses
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,700000,3,200,1,0,0,0,0,0,0,0,0,0,C,131,To be done up,Apartments
Wavre,1300,Province of Walloon Brabant,House,villa,575000,4,210,1,0,0,1,14,0,0,0,1485,4,C,246,To be done up,Luxury Properties
Waterloo,1410,Province of Walloon Brabant,House,villa,1090000,6,294,1,0,0,1,70,1,1400,0,1864,4,C,223,As new,Luxury Properties
Gentbrugge,9050,Province of East Flanders,Apartment,apartment,245000,1,68,0,0,0,0,0,0,0,0,0,0,B,120,Just renovated,Apartments
Aalst,9300,Province of East Flanders,House,house,249000,4,190,1,0,0,1,10,1,90,0,192,2,F,547,To renovate,Houses
Charleroi-gilly,6060,Province of Hainaut,House,house,119000,3,122,0,0,0,1,25,0,0,0,115,3,G,536,To renovate,Houses
Marke,8510,Province of West Flanders,House,house,575000,4,280,1,0,0,0,0,0,0,0,268,0,B,113,Just renovated,Houses
Gent,9000,Province of East Flanders,Apartment,apartment,320000,2,85,0,0,0,0,0,0,0,0,0,0,C,250,To be done up,Apartments
Lo-reninge,8647,Province of West Flanders,House,house,149000,4,135,0,0,0,0,0,0,0,0,321,0,F,622,To renovate,Houses
Hoeilaart,1560,Province of Flemish Brabant,House,mixed-use-building,585000,4,280,1,0,0,1,41,0,0,0,228,3,E,437,Good,Specialized Properties
Ronse,9600,Province of East Flanders,Apartment,apartment,135000,2,79,0,0,0,1,12,0,0,0,0,0,C,226,Good,Apartments
Sint-kruis,8310,Province of West Flanders,House,villa,795000,5,445,1,0,0,0,0,0,0,0,1025,4,C,241,Good,Luxury Properties
Liege,4020,Province of Liège,House,house,279000,3,168,1,0,0,1,34,1,217,0,357,2,D,315,Good,Houses
Uccle,1180,Brussels-Capital Region,House,villa,1340000,4,266,1,0,0,1,20,0,0,0,1131,3,D,210,As new,Luxury Properties
Brasschaat,2930,Province of Antwerp,House,house,985000,4,343,1,0,1,0,0,0,0,1,2100,4,C,262,Not specified,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,475000,4,167,1,0,0,1,12,0,0,0,0,2,G,558,To be done up,Apartments
Braine-lalleud,1420,Province of Walloon Brabant,House,villa,1090000,6,294,1,0,0,1,70,1,1400,0,1864,4,C,223,As new,Luxury Properties
Zottegem,9620,Province of East Flanders,House,house,249000,4,147,0,0,0,1,18,1,327,0,327,0,F,521,Good,Houses
Rhode-saint-genese,1640,Province of Flemish Brabant,House,villa,1090000,6,294,1,0,0,1,70,1,1400,0,1864,4,C,223,As new,Luxury Properties
Oostende,8400,Province of West Flanders,Apartment,apartment,395000,2,87,0,0,0,1,6,0,0,0,0,0,A,86,Not specified,Apartments
Erpe-mere,9420,Province of East Flanders,House,house,195000,3,101,1,0,0,0,0,0,0,0,544,3,F,1079,To renovate,Houses
Hoeilaart,1560,Province of Flemish Brabant,House,house,585000,4,280,1,0,0,1,41,0,0,0,228,3,E,437,Good,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,villa,1380000,5,315,1,0,0,1,40,1,570,0,742,3,E,272,Good,Luxury Properties
Lembeke,9971,Province of East Flanders,Apartment,apartment,495000,3,165,1,0,0,1,17,1,79,0,0,0,Not specified,317,Just renovated,Apartments
Houthulst,8650,Province of West Flanders,House,bungalow,249000,3,152,0,0,0,0,0,0,0,0,1555,0,F,968,To renovate,Houses
Oosterzele,9860,Province of East Flanders,House,house,259000,3,119,0,0,0,1,30,1,412,0,412,0,F,973,To be done up,Houses
Perwez,1360,Province of Walloon Brabant,House,villa,720000,5,380,1,0,0,1,1,1,1,0,1470,4,C,237,Good,Luxury Properties
Reningelst,8970,Province of West Flanders,House,manor-house,1350000,6,497,0,0,0,0,0,0,0,0,11362,4,A,317,As new,Luxury Properties
Wichelen,9260,Province of East Flanders,House,house,380000,3,190,1,0,0,1,12,0,0,0,649,4,F,705,To be done up,Houses
Deinze,9800,Province of East Flanders,House,house,279000,3,156,1,0,0,0,0,1,66,0,137,2,C,212,Good,Houses
Jauche,1350,Province of Walloon Brabant,House,house,260000,4,138,0,0,0,1,25,1,215,0,350,3,D,314,Good,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,445000,4,137,1,0,0,1,11,0,0,0,0,2,F,288,To be done up,Apartments
Court-saint-etienne,1490,Province of Walloon Brabant,House,house,520000,3,215,1,0,0,0,0,0,0,0,723,0,Not specified,317,Good,Houses
Knokke-heist,8300,Province of West Flanders,House,villa,1045000,4,222,1,0,0,0,0,1,338,0,601,4,C,256,As new,Luxury Properties
Marke,8510,Province of West Flanders,House,house,288400,3,150,0,0,0,0,0,0,0,0,135,0,A,34,Good,Houses
Waterloo,1410,Province of Walloon Brabant,Apartment,penthouse,895000,3,220,1,0,0,1,30,0,0,0,0,2,B,123,As new,Apartments
Aywaille,4920,Province of Liège,Apartment,apartment,235000,2,130,0,0,0,0,0,0,0,0,0,2,C,216,To be done up,Apartments
Herstal,4040,Province of Liège,House,house,259000,4,139,1,0,0,1,19,1,92,0,162,3,D,314,Good,Houses
Aartselaar,2630,Province of Antwerp,House,mixed-use-building,660000,0,232,0,0,0,0,0,0,0,0,917,3,C,255,Good,Specialized Properties
Auderghem,1160,Brussels-Capital Region,House,house,595000,5,208,1,0,0,1,5,1,110,0,165,2,F,284,To renovate,Houses
Aartselaar,2630,Province of Antwerp,House,house,595000,3,282,1,0,0,1,26,1,64,0,228,2,A,97,Just renovated,Houses
Merelbeke,9820,Province of East Flanders,House,house,365000,4,200,0,0,0,0,0,0,0,0,486,4,F,582,To renovate,Houses
Mettet,5640,Province of Namur,House,mansion,599000,7,470,1,1,1,0,0,0,0,0,1439,3,F,486,Good,Luxury Properties
Jodoigne,1370,Province of Walloon Brabant,House,house,260000,4,138,0,0,0,1,25,1,215,0,350,3,D,314,Good,Houses
Antwerpen,2060,Province of Antwerp,Apartment,apartment,245000,1,50,1,0,0,0,0,0,0,0,0,0,B,198,As new,Apartments
Ertvelde,9940,Province of East Flanders,House,house,595000,4,218,1,0,0,0,0,0,0,0,1037,4,B,162,Good,Houses
Bever,1547,Province of Flemish Brabant,House,farmhouse,595000,4,370,1,0,0,0,0,0,0,0,5010,4,D,351,Good,Houses
Marke,8510,Province of West Flanders,House,house,303400,3,146,0,0,0,0,0,0,0,0,134,0,A,45,Good,Houses
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,199000,2,78,1,0,0,1,10,0,0,0,0,4,D,156,Good,Apartments
Montegnee,4420,Province of Liège,House,house,159000,3,106,0,0,0,0,0,1,130,0,210,2,E,394,To be done up,Houses
Bredene,8450,Province of West Flanders,House,house,599000,3,240,0,0,1,0,0,0,0,0,992,4,C,263,To be done up,Houses
Huldenberg,3040,Province of Flemish Brabant,House,house,695000,4,200,1,0,0,0,0,1,971,0,1334,3,A,43,Not specified,Houses
Marke,8510,Province of West Flanders,House,house,309600,3,155,0,0,0,0,0,0,0,0,140,0,A,45,Good,Houses
Antwerpen,2060,Province of Antwerp,House,house,279900,4,125,1,0,0,0,0,0,0,0,56,2,B,174,Good,Houses
Comines-warneton,7780,Province of Hainaut,House,house,599000,3,295,1,0,0,0,0,1,1200,1,2315,4,B,95,Good,Houses
Gentbrugge,9050,Province of East Flanders,House,mixed-use-building,615000,6,402,1,0,0,0,0,0,0,0,180,3,F,520,To restore,Specialized Properties
Knokke,8300,Province of West Flanders,Apartment,apartment,465000,2,79,1,1,0,0,0,0,0,0,0,2,B,144,To renovate,Apartments
Liege,4000,Province of Liège,House,house,299000,3,132,1,0,0,1,30,0,0,0,107,2,D,275,Good,Houses
Blaasveld,2830,Province of Antwerp,House,villa,459000,3,153,1,0,0,0,0,0,0,0,694,4,C,266,Just renovated,Luxury Properties
Ixelles,1050,Brussels-Capital Region,Apartment,ground-floor,1200000,3,234,0,0,0,0,0,1,160,0,0,0,F,318,Not specified,Apartments
Rijkevorsel,2310,Province of Antwerp,House,house,350000,3,200,1,0,0,0,0,0,0,0,88,2,B,164,Just renovated,Houses
Willebroek,2830,Province of Antwerp,House,house,288000,4,166,0,0,0,0,0,1,148,0,210,2,D,363,Good,Houses
Brussel,1000,Brussels-Capital Region,Apartment,apartment,225000,1,41,0,1,0,0,0,0,0,0,0,0,E,233,Good,Apartments
Kortrijk,8500,Province of West Flanders,House,house,180000,4,158,0,0,0,0,0,0,0,0,105,2,F,873,Good,Houses
Gentbrugge,9050,Province of East Flanders,House,house,649000,4,267,0,0,0,0,0,0,0,0,612,0,D,385,To renovate,Houses
Borgerhout,2140,Province of Antwerp,House,house,289900,4,120,1,0,0,0,0,0,0,0,50,2,C,274,Good,Houses
Glabbeek,3384,Province of Flemish Brabant,House,country-cottage,395000,3,155,0,0,0,0,0,1,384,0,7297,4,F,922,To renovate,Houses
Koksijde,8670,Province of West Flanders,House,exceptional-property,820000,4,286,1,0,0,0,0,0,0,0,1210,4,D,309,As new,Luxury Properties
Oostakker,9041,Province of East Flanders,Apartment,apartment,370000,4,79,0,0,0,0,0,0,0,0,0,3,C,297,To be done up,Apartments
Lendelede,8860,Province of West Flanders,House,house,675000,4,267,1,0,0,0,0,0,0,0,1455,0,F,538,To be done up,Houses
Namur,5000,Province of Namur,House,mansion,590000,4,280,0,0,0,0,0,0,0,0,251,2,C,187,Just renovated,Luxury Properties
Uccle,1180,Brussels-Capital Region,House,house,1175000,4,283,1,0,0,1,20,1,700,0,1008,4,G,499,Good,Houses
Gosselies,6041,Province of Hainaut,House,mansion,295000,4,169,1,0,0,1,35,1,1280,0,1280,2,D,265,To be done up,Luxury Properties
Wavre,1300,Province of Walloon Brabant,House,house,315000,3,120,0,0,0,1,30,1,553,0,682,4,G,522,To renovate,Houses
Bambrugge,9420,Province of East Flanders,House,house,339000,2,140,1,0,0,1,20,0,0,0,1373,4,F,608,To be done up,Houses
Sint-andries,8200,Province of West Flanders,House,house,425000,3,147,0,0,0,0,0,0,0,0,137,2,B,117,Good,Houses
Oupeye,4680,Province of Liège,House,house,290000,3,186,1,0,1,1,40,0,0,0,516,3,D,268,As new,Houses
Gent,9000,Province of East Flanders,House,house,425000,1,110,0,0,0,0,0,0,0,0,0,0,E,466,To be done up,Houses
De-haan,8420,Province of West Flanders,Apartment,apartment,225000,2,71,0,0,0,0,0,0,0,0,0,0,C,205,Just renovated,Apartments
Ronse,9600,Province of East Flanders,House,villa,649000,7,336,0,0,0,0,0,0,0,0,1270,4,C,297,Good,Luxury Properties
Aalst,9300,Province of East Flanders,House,house,298500,4,193,1,0,0,1,36,0,0,0,171,2,F,507,Good,Houses
Hoboken,2660,Province of Antwerp,Apartment,apartment,199000,2,61,1,0,0,1,28,0,0,0,0,0,C,249,Good,Apartments
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,695000,7,301,1,0,0,0,0,1,70,0,180,2,G,432,Good,Houses
Waterloo,1410,Province of Walloon Brabant,House,villa,595000,6,265,1,0,0,0,0,1,1151,0,1151,4,F,506,Good,Luxury Properties
Antwerpen,2060,Province of Antwerp,Apartment,kot,235000,2,53,1,0,0,0,0,0,0,0,0,2,B,183,Just renovated,Apartments
Antwerpen,2018,Province of Antwerp,Apartment,apartment,340000,3,113,1,0,0,0,0,0,0,0,0,0,B,109,Good,Apartments
Namur,5000,Province of Namur,House,apartment-block,590000,4,280,0,0,0,0,0,0,0,0,251,2,C,187,Just renovated,Specialized Properties
Zandvliet,2040,Province of Antwerp,House,house,695000,7,355,1,0,0,0,0,1,3115,1,3115,0,B,197,Good,Houses
Schoten,2900,Province of Antwerp,House,house,795000,3,254,0,0,0,0,0,0,0,0,1450,4,B,193,Not specified,Houses
Halle,1500,Province of Flemish Brabant,Apartment,duplex,385000,3,126,1,0,0,1,6,0,0,0,0,3,A,51,Just renovated,Apartments
Willebroek,2830,Province of Antwerp,House,house,319000,3,165,0,0,0,0,0,0,0,0,295,2,D,368,Good,Houses
Seraing,4101,Province of Liège,House,house,299000,4,140,1,0,0,1,50,1,20,0,288,3,B,127,As new,Houses
Auderghem,1160,Brussels-Capital Region,Apartment,penthouse,450000,3,125,1,0,0,0,0,0,0,0,0,2,D,201,Good,Apartments
Sint-stevens-woluwe,1932,Province of Flemish Brabant,House,house,750000,5,308,1,0,0,1,32,0,0,0,550,3,B,106,Good,Houses
Halle,1500,Province of Flemish Brabant,Apartment,apartment,385000,3,126,1,0,0,1,6,0,0,0,0,3,A,51,Just renovated,Apartments
Libramont-chevigny,6800,Province of Luxembourg,House,house,299000,3,150,1,0,0,1,40,1,500,0,610,4,E,410,To be done up,Houses
Tienen,3300,Province of Flemish Brabant,House,house,259000,4,112,0,0,0,1,19,1,26,0,80,2,B,197,As new,Houses
Kumtich,3300,Province of Flemish Brabant,House,villa,775000,4,441,0,0,0,1,9,1,3216,0,3216,4,D,396,Not specified,Luxury Properties
Liege,4030,Province of Liège,Apartment,apartment,189000,2,105,1,0,0,0,0,0,0,0,0,2,D,264,Good,Apartments
Bastogne,6600,Province of Luxembourg,Apartment,apartment,345000,3,125,1,0,0,0,0,0,0,0,0,3,B,161,Good,Apartments
Sint-niklaas,9100,Province of East Flanders,House,mixed-use-building,549000,4,325,0,0,0,0,0,0,0,0,956,4,B,161,Good,Specialized Properties
Denderleeuw,9470,Province of East Flanders,Apartment,ground-floor,279000,2,105,1,0,0,1,35,0,0,0,0,2,C,226,As new,Apartments
Destelbergen,9070,Province of East Flanders,House,house,299000,3,153,0,0,0,1,20,1,140,0,203,0,F,892,To be done up,Houses
Ottignies-louvain-la-neuve,1340,Province of Walloon Brabant,House,house,795000,4,220,1,0,0,0,0,0,0,0,2350,4,B,148,As new,Houses
Namur,5000,Province of Namur,House,exceptional-property,590000,4,280,0,0,0,0,0,0,0,0,251,2,C,187,Just renovated,Luxury Properties
Brugelette,7940,Province of Hainaut,House,house,89000,3,128,0,0,0,1,20,1,350,0,440,4,G,551,To restore,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,460000,2,141,1,0,1,0,0,1,25,0,0,2,D,188,Good,Apartments
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,349500,1,46,1,0,0,0,0,0,0,0,0,2,C,241,Good,Apartments
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,295000,2,93,1,0,0,1,5,0,0,0,0,2,C,109,As new,Apartments
Schorisse,9688,Province of East Flanders,House,house,835000,2,211,1,0,0,0,0,0,0,0,2670,4,D,317,Just renovated,Houses
Celles,5561,Province of Namur,House,house,599000,5,230,1,0,0,1,30,1,260,0,0,4,B,317,Not specified,Houses
Menen,8930,Province of West Flanders,House,house,139000,4,113,1,0,0,0,0,1,5,0,69,2,E,405,Good,Houses
Voroux-lez-liers,4451,Province of Liège,House,house,325000,3,167,1,0,0,1,92,1,200,0,739,3,C,255,Good,Houses
Antwerpen,2170,Province of Antwerp,Apartment,apartment,185000,1,55,1,0,0,1,5,0,0,0,0,2,B,119,As new,Apartments
Appels,9200,Province of East Flanders,House,villa,895000,5,346,1,0,0,0,0,0,0,1,1730,4,C,211,Good,Luxury Properties
Walcourt,5650,Province of Namur,House,house,180000,2,138,1,0,0,0,0,0,0,0,258,3,E,388,Just renovated,Houses
Mortsel,2640,Province of Antwerp,Apartment,apartment,259000,2,98,1,0,0,1,6,0,0,0,0,0,B,111,Just renovated,Apartments
Braine-le-chateau,1440,Province of Walloon Brabant,House,exceptional-property,1620000,3,480,1,0,0,1,220,1,700,1,7300,4,Not specified,317,As new,Luxury Properties
Dendermonde,9200,Province of East Flanders,House,house,850000,6,422,0,0,0,0,0,0,0,0,442,0,D,396,To renovate,Houses
Blegny,4670,Province of Liège,House,house,325000,4,185,1,0,0,1,16,1,490,0,750,4,E,424,Good,Houses
Etterbeek,1040,Brussels-Capital Region,House,house,925000,4,280,1,0,0,0,0,1,100,0,175,2,D,198,Good,Houses
Gent,9000,Province of East Flanders,House,house,199000,1,40,0,0,0,0,0,0,0,0,43,0,F,596,To be done up,Houses
Heist-aan-zee,8301,Province of West Flanders,House,house,350000,3,113,0,0,0,0,0,0,0,0,149,2,F,317,Good,Houses
Veldwezelt,3620,Province of Limburg,House,villa,925000,4,430,0,1,0,0,0,0,0,0,1368,0,A,83,As new,Luxury Properties
Gent,9000,Province of East Flanders,House,house,299000,2,113,1,0,0,0,0,0,0,0,57,0,D,354,Good,Houses
Mortsel,2640,Province of Antwerp,Apartment,apartment,295000,2,98,1,0,0,1,5,0,0,0,0,0,A,317,Just renovated,Apartments
Asse,1730,Province of Flemish Brabant,House,house,333000,3,150,1,0,0,1,80,1,620,0,694,3,E,495,To renovate,Houses
Dinant,5500,Province of Namur,Apartment,apartment,164000,2,85,0,0,0,0,0,0,0,0,0,0,B,119,Just renovated,Apartments
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,945000,5,245,1,0,0,1,7,1,150,0,221,2,D,178,As new,Houses
Morkhoven,2200,Province of Antwerp,House,house,339000,2,111,0,0,0,0,0,0,0,0,823,3,B,185,Good,Houses
Lebbeke,9280,Province of East Flanders,Apartment,apartment,395000,2,125,0,0,0,1,30,0,0,0,0,0,A,76,Good,Apartments
Kruisem,9750,Province of East Flanders,House,house,339000,2,172,1,0,0,0,0,1,160,0,340,3,C,288,Good,Houses
Antwerpen,2018,Province of Antwerp,House,house,985000,5,415,0,0,0,0,0,1,87,0,220,2,D,351,Good,Houses
Herselt,2230,Province of Antwerp,House,house,348500,3,199,0,0,0,0,0,0,0,0,678,3,D,382,Good,Houses
Oostende,8400,Province of West Flanders,Apartment,apartment,139000,1,95,0,0,0,1,10,1,100,0,0,0,F,560,To be done up,Apartments
Chaumont-gistoux,1325,Province of Walloon Brabant,House,villa,525000,4,214,1,0,0,1,40,1,1170,0,1170,3,D,262,As new,Luxury Properties
Affligem,1790,Province of Flemish Brabant,House,house,419000,3,163,1,0,0,1,10,0,0,0,721,0,F,555,Not specified,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,1195000,4,268,1,0,0,1,100,0,0,0,0,2,C,148,As new,Apartments
Forest,1190,Brussels-Capital Region,House,apartment-block,600000,5,246,0,0,0,0,0,1,25,0,0,2,Not specified,317,Good,Specialized Properties
Schaerbeek,1030,Brussels-Capital Region,House,house,525000,4,301,0,0,0,1,12,1,23,0,110,0,G,534,Not specified,Houses
Vaux-sur-sure,6642,Province of Luxembourg,House,house,169000,3,189,1,0,0,1,28,0,0,0,150,4,E,345,To be done up,Houses
Pont-a-celles,6230,Province of Hainaut,House,house,169900,2,115,1,0,0,1,12,1,550,0,690,2,F,448,To be done up,Houses
Herent,3020,Province of Flemish Brabant,House,house,409000,2,160,1,0,0,1,15,1,380,0,757,0,F,625,To be done up,Houses
Affligem,1790,Province of Flemish Brabant,House,house,599000,3,250,1,0,0,1,46,1,500,0,770,4,C,218,As new,Houses
Drongen,9031,Province of East Flanders,House,villa,527000,3,220,0,0,0,0,0,0,0,0,396,0,Not specified,317,Good,Luxury Properties
Saint-ghislain,7330,Province of Hainaut,House,house,350000,3,184,1,0,0,1,10,0,0,0,400,3,A,63,As new,Houses
Viroinval-le-mesnil,5670,Province of Namur,House,house,160000,2,145,1,0,0,0,0,1,200,0,295,3,G,630,Good,Houses
Zottegem,9620,Province of East Flanders,House,mixed-use-building,349000,4,168,0,0,0,0,0,0,0,0,1880,3,F,508,To renovate,Specialized Properties
Zottegem,9620,Province of East Flanders,Apartment,ground-floor,225000,1,87,0,0,0,0,0,0,0,0,0,0,A,18,Good,Apartments
Kortrijk,8500,Province of West Flanders,House,villa,995000,3,260,1,0,0,1,40,0,0,0,2500,3,A,34,As new,Luxury Properties
Schaerbeek,1030,Brussels-Capital Region,House,apartment-block,965000,0,500,0,0,0,0,0,0,0,0,500,2,Not specified,317,Not specified,Specialized Properties
Sint-kruis,8310,Province of West Flanders,House,house,539000,4,207,0,0,0,0,0,0,0,0,1000,4,C,275,Not specified,Houses
Willebroek,2830,Province of Antwerp,House,house,369000,4,188,1,0,0,1,430,0,0,0,582,3,D,380,Good,Houses
Liege,4032,Province of Liège,House,house,195000,2,115,1,0,0,0,0,1,80,0,143,2,G,525,Good,Houses
Marchin,4570,Province of Liège,House,house,360000,3,161,1,0,0,1,11,1,715,0,1100,4,D,303,Good,Houses
Vloesberg,7880,Province of Hainaut,House,house,1095000,10,384,0,0,1,0,0,0,0,0,45214,4,C,237,To be done up,Houses
Saint-ghislain-hautrage,7334,Province of Hainaut,House,country-cottage,230000,3,140,1,1,0,1,30,1,500,0,915,4,G,556,To renovate,Houses
Nivelles,1400,Province of Walloon Brabant,House,house,550000,5,250,0,0,0,1,61,1,481,0,605,3,B,125,Good,Houses
Ronse,9600,Province of East Flanders,Apartment,apartment,157500,2,77,1,0,0,0,0,0,0,0,0,2,C,236,As new,Apartments
Yvoir,5530,Province of Namur,House,villa,235000,3,200,0,0,0,1,52,0,0,0,732,4,G,566,To renovate,Luxury Properties
Turnhout,2300,Province of Antwerp,House,villa,1099000,4,532,1,0,1,0,0,0,0,0,1500,4,B,140,As new,Luxury Properties
Waregem,8790,Province of West Flanders,House,house,299000,2,130,1,0,0,1,53,1,47,0,225,3,D,389,Not specified,Houses
Antwerpen,2018,Province of Antwerp,House,house,575000,6,248,0,0,0,0,0,1,55,0,172,2,E,444,Not specified,Houses
Rotselaar,3118,Province of Flemish Brabant,House,house,549000,5,300,0,0,1,0,0,0,0,0,2250,0,D,346,Good,Houses
Gent,9000,Province of East Flanders,Apartment,apartment,175000,2,70,0,0,0,0,0,0,0,0,0,1,B,140,Good,Apartments
Ottignies,1340,Province of Walloon Brabant,House,house,375000,3,140,1,0,0,1,25,1,408,0,616,4,D,294,Good,Houses
Sint-amandsberg,9040,Province of East Flanders,Apartment,apartment,240000,2,80,0,0,0,0,0,0,0,0,0,0,F,535,Good,Apartments
Dendermonde,9200,Province of East Flanders,House,house,1195000,3,597,1,1,0,0,0,0,0,0,3257,4,E,317,Good,Houses
Nivelles,1400,Province of Walloon Brabant,House,house,335000,3,165,1,0,0,1,17,0,0,0,167,2,B,152,Good,Houses
Tremelo,3120,Province of Flemish Brabant,House,house,585000,3,218,1,0,0,0,0,0,0,0,1435,4,C,272,Not specified,Houses
Gent,9000,Province of East Flanders,Apartment,apartment,245000,1,45,0,0,0,1,5,0,0,0,0,0,E,445,To be done up,Apartments
Izegem,8870,Province of West Flanders,House,mansion,1200000,4,498,1,0,0,1,50,1,120,0,717,2,C,214,Just renovated,Luxury Properties
Mechelen,2800,Province of Antwerp,Apartment,apartment,319000,2,95,1,0,0,0,0,0,0,0,0,0,B,127,Good,Apartments
Tienen,3300,Province of Flemish Brabant,House,villa,569000,5,315,0,0,1,0,0,0,0,0,1661,4,E,472,Just renovated,Luxury Properties
Uccle,1180,Brussels-Capital Region,House,house,590000,5,240,0,0,0,0,0,0,0,0,0,2,G,434,To renovate,Houses
Antwerpen,2020,Province of Antwerp,Apartment,apartment,149500,2,89,0,0,0,1,1,0,0,0,0,3,C,255,To be done up,Apartments
Berendrecht,2040,Province of Antwerp,House,house,375000,3,145,1,0,0,0,0,1,358,0,358,0,C,226,Good,Houses
Knokke-heist,8301,Province of West Flanders,Apartment,apartment,325000,1,64,0,0,0,1,21,0,0,0,0,2,B,317,As new,Apartments
Wavre,1300,Province of Walloon Brabant,Apartment,duplex,390000,2,107,1,0,0,1,16,1,52,0,0,2,B,120,Just renovated,Apartments
Gent,9000,Province of East Flanders,House,mansion,1275000,4,296,1,0,0,0,0,1,60,0,162,0,A,67,As new,Luxury Properties
Aartselaar,2630,Province of Antwerp,House,house,595000,6,350,0,0,0,0,0,0,0,0,353,2,D,394,Good,Houses
Lier,2500,Province of Antwerp,House,house,649000,4,245,0,0,0,0,0,0,0,0,594,4,C,232,Not specified,Houses
Nivelles,1400,Province of Walloon Brabant,Apartment,apartment,180000,3,95,1,0,0,1,13,0,0,0,0,4,D,312,To renovate,Apartments
Lembeke,9971,Province of East Flanders,House,house,360000,3,152,1,0,0,1,10,1,45,0,910,0,Not specified,317,Just renovated,Houses
Blegny,4671,Province of Liège,House,house,369500,3,124,1,0,0,1,90,1,215,0,523,4,C,177,As new,Houses
Oostende,8400,Province of West Flanders,House,apartment-block,560000,6,339,0,0,0,0,0,0,0,0,127,2,B,174,Good,Specialized Properties
Strombeek-bever,1853,Province of Flemish Brabant,House,house,375000,4,160,0,0,0,1,3,0,0,0,90,0,D,322,To renovate,Houses
Hamme,9220,Province of East Flanders,House,house,269000,3,170,1,0,0,0,0,1,42,0,160,0,E,438,Good,Houses
Oostduinkerke,8670,Province of West Flanders,House,house,210000,3,62,1,1,0,0,0,0,0,0,260,0,D,335,Good,Houses
Wavre,1300,Province of Walloon Brabant,Apartment,duplex,410000,3,127,1,0,0,1,13,0,0,0,0,2,B,120,Just renovated,Apartments
Hamme,9220,Province of East Flanders,House,villa,665000,4,366,0,0,0,0,0,0,0,0,1390,4,D,384,As new,Luxury Properties
Beersel,1650,Province of Flemish Brabant,House,villa,615000,3,200,1,0,1,0,0,1,500,0,1111,4,E,457,To renovate,Luxury Properties
Galmaarden,1570,Province of Flemish Brabant,House,villa,390000,4,200,1,0,0,1,25,1,400,0,485,4,D,365,To be done up,Luxury Properties
Sint-amandsberg,9040,Province of East Flanders,House,house,270000,1,117,1,0,0,0,0,0,0,0,42,2,B,146,Good,Houses
Saint-gilles,1060,Brussels-Capital Region,Apartment,apartment,480000,2,94,1,0,0,0,0,0,0,0,0,2,B,61,As new,Apartments
Heusden-zolder,3550,Province of Limburg,House,villa,1350000,3,330,0,0,0,0,0,0,0,0,25511,0,C,243,As new,Luxury Properties
Hoevenen,2940,Province of Antwerp,House,house,350000,3,176,1,0,0,0,0,1,301,0,260,0,B,167,To be done up,Houses
Incourt,1315,Province of Walloon Brabant,House,town-house,395000,2,164,1,0,0,1,15,0,0,1,430,3,D,337,Good,Houses
Overijse,3090,Province of Flemish Brabant,Apartment,duplex,495000,3,183,1,0,0,1,42,0,0,0,0,2,A,99,As new,Apartments
Athus,6791,Province of Luxembourg,House,house,1450000,4,299,0,0,0,1,40,0,0,0,1920,4,B,126,Good,Houses
Heist-op-den-berg,2220,Province of Antwerp,House,villa,749000,5,330,1,1,0,0,0,0,0,0,1585,4,B,149,As new,Luxury Properties
Gent,9030,Province of East Flanders,House,house,620000,5,265,1,0,0,1,40,1,364,0,629,2,B,164,As new,Houses
Lebbeke,9280,Province of East Flanders,House,house,95000,1,57,0,0,0,0,0,0,0,0,270,3,F,1574,Good,Houses
